,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_ccp_alpha,param_class_weight,param_criterion,param_max_depth,param_max_samples,param_min_samples_split,param_n_estimators,params,split0_test_accuracy,split1_test_accuracy,split2_test_accuracy,split3_test_accuracy,split4_test_accuracy,mean_test_accuracy,std_test_accuracy,rank_test_accuracy
0,0.264891529083252,0.01568793023943784,0.01874985694885254,0.000977213912845901,0.0,,gini,,,2,100,"{'ccp_alpha': 0.0, 'class_weight': None, 'criterion': 'gini', 'max_depth': None, 'max_samples': None, 'min_samples_split': 2, 'n_estimators': 100}",0.8111111111111111,0.8222222222222222,0.85,0.8156424581005587,0.8044692737430168,0.8206890130353818,0.01575924206263774,246
1,0.5295834541320801,0.015411862332365382,0.03510603904724121,0.001323045809783552,0.0,,gini,,,2,200,"{'ccp_alpha': 0.0, 'class_weight': None, 'criterion': 'gini', 'max_depth': None, 'max_samples': None, 'min_samples_split': 2, 'n_estimators': 200}",0.8166666666666667,0.8222222222222222,0.85,0.7988826815642458,0.7988826815642458,0.8173308504034761,0.018827160490668886,324
2,0.7791157722473144,0.006536702857354355,0.06602373123168945,0.011957594314122515,0.0,,gini,,,2,300,"{'ccp_alpha': 0.0, 'class_weight': None, 'criterion': 'gini', 'max_depth': None, 'max_samples': None, 'min_samples_split': 2, 'n_estimators': 300}",0.8166666666666667,0.8222222222222222,0.8333333333333334,0.7988826815642458,0.7932960893854749,0.8128801986343885,0.014828413826775994,394
3,0.25830907821655275,0.008296973912740051,0.022339773178100587,0.0050702705288144375,0.0,,gini,,,3,100,"{'ccp_alpha': 0.0, 'class_weight': None, 'criterion': 'gini', 'max_depth': None, 'max_samples': None, 'min_samples_split': 3, 'n_estimators': 100}",0.8222222222222222,0.8333333333333334,0.8444444444444444,0.8100558659217877,0.8044692737430168,0.8229050279329609,0.014684278925154228,201
4,0.5168166160583496,0.016634611773182012,0.03949451446533203,0.0020539563239506124,0.0,,gini,,,3,200,"{'ccp_alpha': 0.0, 'class_weight': None, 'criterion': 'gini', 'max_depth': None, 'max_samples': None, 'min_samples_split': 3, 'n_estimators': 200}",0.8388888888888889,0.8277777777777777,0.8277777777777777,0.8100558659217877,0.8156424581005587,0.8240285536933583,0.010144018212200517,172
5,0.8192080974578857,0.04140844076555513,0.06622314453125,0.009884865005590816,0.0,,gini,,,3,300,"{'ccp_alpha': 0.0, 'class_weight': None, 'criterion': 'gini', 'max_depth': None, 'max_samples': None, 'min_samples_split': 3, 'n_estimators': 300}",0.8222222222222222,0.8388888888888889,0.8333333333333334,0.8156424581005587,0.8100558659217877,0.8240285536933583,0.010735305515065784,172
6,0.27227163314819336,0.01798463252042252,0.022739362716674805,0.004342435033170422,0.0,,gini,,0.8,2,100,"{'ccp_alpha': 0.0, 'class_weight': None, 'criterion': 'gini', 'max_depth': None, 'max_samples': 0.8, 'min_samples_split': 2, 'n_estimators': 100}",0.8333333333333334,0.8222222222222222,0.8444444444444444,0.7932960893854749,0.7988826815642458,0.8184357541899441,0.019631874942727456,298
7,0.6341044902801514,0.02716272538363219,0.05624890327453613,0.015988676470718968,0.0,,gini,,0.8,2,200,"{'ccp_alpha': 0.0, 'class_weight': None, 'criterion': 'gini', 'max_depth': None, 'max_samples': 0.8, 'min_samples_split': 2, 'n_estimators': 200}",0.8222222222222222,0.8166666666666667,0.8444444444444444,0.8044692737430168,0.7988826815642458,0.8173370577281192,0.0159076618972313,312
8,0.8116289138793945,0.05003193958557283,0.06402854919433594,0.00796402943734873,0.0,,gini,,0.8,2,300,"{'ccp_alpha': 0.0, 'class_weight': None, 'criterion': 'gini', 'max_depth': None, 'max_samples': 0.8, 'min_samples_split': 2, 'n_estimators': 300}",0.8111111111111111,0.8277777777777777,0.8444444444444444,0.7932960893854749,0.8044692737430168,0.816219739292365,0.017999374889848166,350
9,0.27227187156677246,0.033974596912614036,0.028922557830810547,0.009097217766644017,0.0,,gini,,0.8,3,100,"{'ccp_alpha': 0.0, 'class_weight': None, 'criterion': 'gini', 'max_depth': None, 'max_samples': 0.8, 'min_samples_split': 3, 'n_estimators': 100}",0.8277777777777777,0.8277777777777777,0.8444444444444444,0.8044692737430168,0.8100558659217877,0.8229050279329609,0.014257712598428354,201
