,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_ccp_alpha,param_class_weight,param_criterion,param_max_depth,param_max_samples,param_min_samples_split,param_n_estimators,params,split0_test_accuracy,split1_test_accuracy,split2_test_accuracy,split3_test_accuracy,split4_test_accuracy,mean_test_accuracy,std_test_accuracy,rank_test_accuracy
0,0.206648588180542,0.015949419943945078,0.024334096908569337,0.004397872335206741,0.0,,gini,,,2,100,"{'ccp_alpha': 0.0, 'class_weight': None, 'criterion': 'gini', 'max_depth': None, 'max_samples': None, 'min_samples_split': 2, 'n_estimators': 100}",0.8222222222222222,0.7777777777777778,0.8666666666666667,0.7877094972067039,0.8044692737430168,0.8117690875232775,0.031338706184146504,148
1,0.45378565788269043,0.06091059340264127,0.04547848701477051,0.005835510178037802,0.0,,gini,,,2,200,"{'ccp_alpha': 0.0, 'class_weight': None, 'criterion': 'gini', 'max_depth': None, 'max_samples': None, 'min_samples_split': 2, 'n_estimators': 200}",0.8277777777777777,0.7777777777777778,0.8666666666666667,0.7932960893854749,0.8044692737430168,0.8139975170701428,0.030968180275511008,39
2,0.721269941329956,0.05864048997963658,0.06023845672607422,0.011275908174113579,0.0,,gini,,,2,300,"{'ccp_alpha': 0.0, 'class_weight': None, 'criterion': 'gini', 'max_depth': None, 'max_samples': None, 'min_samples_split': 2, 'n_estimators': 300}",0.8222222222222222,0.7777777777777778,0.8666666666666667,0.7932960893854749,0.8044692737430168,0.8128864059590317,0.03055067363592766,81
3,0.22021059989929198,0.012684204841396835,0.017753171920776366,0.0003990175334262532,0.0,,gini,,,3,100,"{'ccp_alpha': 0.0, 'class_weight': None, 'criterion': 'gini', 'max_depth': None, 'max_samples': None, 'min_samples_split': 3, 'n_estimators': 100}",0.8277777777777777,0.7777777777777778,0.8666666666666667,0.7932960893854749,0.8044692737430168,0.8139975170701428,0.030968180275511008,39
4,0.42406492233276366,0.009343156754704134,0.03949446678161621,0.008287027970417004,0.0,,gini,,,3,200,"{'ccp_alpha': 0.0, 'class_weight': None, 'criterion': 'gini', 'max_depth': None, 'max_samples': None, 'min_samples_split': 3, 'n_estimators': 200}",0.8222222222222222,0.7777777777777778,0.8666666666666667,0.7932960893854749,0.8044692737430168,0.8128864059590317,0.03055067363592766,81
5,0.6634247303009033,0.020070287369602605,0.057645750045776364,0.0051405124463031115,0.0,,gini,,,3,300,"{'ccp_alpha': 0.0, 'class_weight': None, 'criterion': 'gini', 'max_depth': None, 'max_samples': None, 'min_samples_split': 3, 'n_estimators': 300}",0.8277777777777777,0.7777777777777778,0.8666666666666667,0.7932960893854749,0.8044692737430168,0.8139975170701428,0.030968180275511008,39
6,0.23297672271728515,0.022279724640931593,0.02074432373046875,0.003178774286202811,0.0,,gini,,0.8,2,100,"{'ccp_alpha': 0.0, 'class_weight': None, 'criterion': 'gini', 'max_depth': None, 'max_samples': 0.8, 'min_samples_split': 2, 'n_estimators': 100}",0.8222222222222222,0.7777777777777778,0.8666666666666667,0.7877094972067039,0.8044692737430168,0.8117690875232775,0.031338706184146504,148
7,0.4196756839752197,0.010656535874235235,0.0458770751953125,0.004324288067040783,0.0,,gini,,0.8,2,200,"{'ccp_alpha': 0.0, 'class_weight': None, 'criterion': 'gini', 'max_depth': None, 'max_samples': 0.8, 'min_samples_split': 2, 'n_estimators': 200}",0.8222222222222222,0.7777777777777778,0.8666666666666667,0.7877094972067039,0.8044692737430168,0.8117690875232775,0.031338706184146504,148
8,0.6323065757751465,0.009331766941162698,0.05565066337585449,0.0033019462006896277,0.0,,gini,,0.8,2,300,"{'ccp_alpha': 0.0, 'class_weight': None, 'criterion': 'gini', 'max_depth': None, 'max_samples': 0.8, 'min_samples_split': 2, 'n_estimators': 300}",0.8277777777777777,0.7777777777777778,0.8666666666666667,0.7877094972067039,0.8044692737430168,0.8128801986343885,0.031784932989092136,114
9,0.2210078716278076,0.012515033972268707,0.02313828468322754,0.005513354461775952,0.0,,gini,,0.8,3,100,"{'ccp_alpha': 0.0, 'class_weight': None, 'criterion': 'gini', 'max_depth': None, 'max_samples': 0.8, 'min_samples_split': 3, 'n_estimators': 100}",0.8277777777777777,0.7777777777777778,0.8666666666666667,0.7932960893854749,0.8044692737430168,0.8139975170701428,0.030968180275511008,39
10,0.40830769538879397,0.01697934053229591,0.03590402603149414,0.0029591756882295147,0.0,,gini,,0.8,3,200,"{'ccp_alpha': 0.0, 'class_weight': None, 'criterion': 'gini', 'max_depth': None, 'max_samples': 0.8, 'min_samples_split': 3, 'n_estimators': 200}",0.8222222222222222,0.7777777777777778,0.8666666666666667,0.7932960893854749,0.8044692737430168,0.8128864059590317,0.03055067363592766,81
11,0.572069501876831,0.018981743079890884,0.054254913330078126,0.0075582859628239435,0.0,,gini,,0.8,3,300,"{'ccp_alpha': 0.0, 'class_weight': None, 'criterion': 'gini', 'max_depth': None, 'max_samples': 0.8, 'min_samples_split': 3, 'n_estimators': 300}",0.8222222222222222,0.7777777777777778,0.8666666666666667,0.7877094972067039,0.8044692737430168,0.8117690875232775,0.031338706184146504,148
